timestamp,x,y,theta,left_vel,right_vel
20.35000000000006,0.4194999999999998,0.0,0.0,-0.7,-0.7
20.40000000000006,0.38449999999999984,0.0,0.0,-0.7,-0.7
20.45000000000006,0.34949999999999987,0.0,0.0,-0.7,-0.7
20.50000000000006,0.3144999999999999,0.0,0.0,-0.7,-0.7
20.55000000000006,0.2794999999999999,0.0,0.0,-0.7,-0.7
20.60000000000006,0.2444999999999999,0.0,0.0,-0.7,-0.7
20.65000000000006,0.2094999999999999,0.0,0.0,-0.7,-0.7
20.70000000000006,0.1744999999999999,0.0,0.0,-0.7,-0.7
20.750000000000057,0.1394999999999999,0.0,0.0,-0.7,-0.7
20.800000000000058,0.1509999999999999,0.0,0.0,0.23,0.23
20.85000000000006,0.1524999999999999,0.0,0.0,0.03,0.03
20.90000000000006,0.1439999999999999,0.0,0.0,-0.17,-0.17
20.950000000000056,0.12549999999999992,0.0,0.0,-0.37,-0.37
21.000000000000057,0.10399999999999991,0.0,0.0,-0.43,-0.43
21.050000000000058,0.0824999999999999,0.0,0.0,-0.43,-0.43
21.10000000000006,0.0609999999999999,0.0,0.0,-0.43,-0.43
21.15000000000006,0.039499999999999896,0.0,0.0,-0.43,-0.43
21.200000000000056,0.017999999999999895,0.0,0.0,-0.43,-0.43
21.250000000000057,-0.003500000000000107,0.0,0.0,-0.43,-0.43
21.300000000000058,-0.02500000000000011,0.0,0.0,-0.43,-0.43
21.35000000000006,-0.04650000000000011,0.0,0.0,-0.43,-0.43
21.40000000000006,-0.06800000000000012,0.0,0.0,-0.43,-0.43
21.450000000000056,-0.08950000000000012,0.0,0.0,-0.43,-0.43
21.500000000000057,-0.11100000000000013,0.0,0.0,-0.43,-0.43
21.550000000000058,-0.12250000000000012,0.0,0.0,-0.23,-0.23
21.60000000000006,-0.12400000000000012,0.0,0.0,-0.03,-0.03
21.65000000000006,-0.11550000000000013,0.0,0.0,0.17,0.17
21.700000000000056,-0.09700000000000013,0.0,0.0,0.37,0.37
21.750000000000057,-0.07050000000000012,0.0,0.0,0.53,0.53
21.800000000000058,-0.044000000000000115,0.0,0.0,0.53,0.53
21.85000000000006,-0.017500000000000113,0.0,0.0,0.53,0.53
21.90000000000006,0.00899999999999989,0.0,0.0,0.53,0.53
21.95000000000006,0.03549999999999989,0.0,0.0,0.53,0.53
22.000000000000057,0.061999999999999895,0.0,0.0,0.53,0.53
22.050000000000058,0.0884999999999999,0.0,0.0,0.53,0.53
22.10000000000006,0.11499999999999991,0.0,0.0,0.53,0.53
22.15000000000006,0.1414999999999999,0.0,0.0,0.53,0.53
22.20000000000006,0.1679999999999999,0.0,0.0,0.53,0.53
22.250000000000057,0.1944999999999999,0.0,0.0,0.53,0.53
22.300000000000058,0.2109999999999999,0.0,0.0,0.33,0.33
22.35000000000006,0.21749999999999992,0.0,0.0,0.13,0.13
22.40000000000006,0.2139999999999999,0.0,0.0,-0.07,-0.07
22.45000000000006,0.2004999999999999,0.0,0.0,-0.27,-0.27
22.500000000000057,0.1769999999999999,0.0,0.0,-0.47,-0.47
22.550000000000058,0.1504999999999999,0.0,0.0,-0.53,-0.53
22.60000000000006,0.12399999999999992,0.0,0.0,-0.53,-0.53
22.65000000000006,0.09749999999999992,0.0,0.0,-0.53,-0.53
22.70000000000006,0.07099999999999992,0.0,0.0,-0.53,-0.53
22.750000000000057,0.04449999999999992,0.0,0.0,-0.53,-0.53
22.800000000000058,0.01799999999999992,0.0,0.0,-0.53,-0.53
22.85000000000006,-0.008500000000000084,0.0,0.0,-0.53,-0.53
